StockistCode,StateID,StateName,DistrictName,CityName,CityID,RMName,DGMName
AIOCDW589,20,UTTARAKHAND UP WEST,GHAZIABAD,GHAZIABAD,119,VACANCY,VACANCY
AIOCDW536,20,UTTARAKHAND UP WEST,ALIGARH,ALIGARH,112,VACANCY,VACANCY
AIOCDW577,22,WEST BENGAL REST,HOOGHLY,HOOGHLY-CHINSURA,577,VACANCY,VACANCY
AIOCDW603,8,GUJARAT,DAHOD,DAHOD,2175,VACANCY,VACANCY
AIOCDW515,20,UTTARAKHAND UP WEST,GAUTAMBUDH NAGAR,NOIDA,139,VACANCY,VACANCY
AIOCDW520,11,JHARKHAND,RANCHI,RANCHI,197,VACANCY,VACANCY
AIOCDW557,20,UTTARAKHAND UP WEST,GAUTAMBUDH NAGAR,NOIDA,139,VACANCY,VACANCY
AIOCDW516,21,UP EAST,VARANASI,VARANASI,207,VACANCY,VACANCY
AIOCDW531,21,UP EAST,VARANASI,VARANASI,207,VACANCY,VACANCY
AIOCDW350,15,MADHYA PRADESH,REWA,REWA,106,VACANCY,VACANCY
AIOCDW648,20,UTTARAKHAND UP WEST,AZAMGARH,AZAMGARH,1856,VACANCY,VACANCY
AIOCDW647,22,WEST BENGAL REST,UTTAR DINAJPUR,RAIGANJ,281,VACANCY,VACANCY
AIOCDW658,5,CHATTISGARH,DURG,DURG,142,VACANCY,VACANCY
AIOCDW646,2,ANDHRA PRADESH,WEST GODAVARI,BHIMAVARAM,943,VACANCY,VACANCY
AIOCDW635,21,UP EAST,VARANASI,VARANASI,207,VACANCY,VACANCY
AIOCDW642,21,UP EAST,VARANASI,VARANASI,207,VACANCY,VACANCY
AIOCDW645,1,TELANGANA,NIZAMABAD,NIZAMABAD,899,VACANCY,VACANCY
AIOCDW662,8,GUJARAT,MEHSANA,VIJAPUR,658,VACANCY,VACANCY
AIOCDW664,5,CHATTISGARH,DHAMTARI,DHAMTARI,141,VACANCY,VACANCY
AIOCDW665,21,UP EAST,VARANASI,VARANASI,207,VACANCY,VACANCY
AIOCDW653,3,NORTH EAST,KAMRUP METROPOLITAN,GUWAHATI,714,VACANCY,VACANCY
AIOCDW825,11,JHARKHAND,RANCHI,RANCHI,197,VACANCY,VACANCY
AIOCDX095,6,DELHI,CENTRAL DELHI,CENTRAL DELHI,1559,VACANCY,VACANCY
AIOCDX113,1,TELANGANA,MANCHERIAL,MANCHERIAL,1292,VACANCY,VACANCY
MHNK200317,7,MARATHWADA,NASHIK,LASALGAON,1217,VACANCY,VACANCY
MHNK200318,7,MARATHWADA,NASHIK,NASHIK,1235,VACANCY,VACANCY
AIOCDX213,20,UTTARAKHAND UP WEST,GAUTAMBUDH NAGAR,NOIDA,139,VACANCY,VACANCY
AIOCDW989,20,UTTARAKHAND UP WEST,GHAZIABAD,GHAZIABAD,119,VACANCY,VACANCY
AIOCDW990,20,UTTARAKHAND UP WEST,GHAZIABAD,GHAZIABAD,119,VACANCY,VACANCY
AIOCDX010,3,NORTH EAST,KAMRUP METROPOLITAN,GUWAHATI,714,VACANCY,VACANCY
AIOCDX011,3,NORTH EAST,KAMRUP METROPOLITAN,GUWAHATI,714,VACANCY,VACANCY
AIOCDX012,3,NORTH EAST,KAMRUP METROPOLITAN,GUWAHATI,714,VACANCY,VACANCY
AIOCDX060,2,ANDHRA PRADESH,WEST GODAVARI,ELURU,343,VACANCY,VACANCY
AIOCDX085,19,TAMIL NADU,KARUR,KARUR,363,VACANCY,VACANCY
AIOCDX129,20,UTTARAKHAND UP WEST,GHAZIABAD,GHAZIABAD,119,VACANCY,VACANCY
AIOCDW841,14,KARNATAKA,TUMAKURU,TUMAKURU (TUMKUR),528,VACANCY,VACANCY
